hand,color
AA,紺
AKs,紺
AQs,赤
AJs,赤
ATs,赤
A9s,緑
A8s,緑
A7s,緑
A6s,緑
A5s,緑
A4s,緑
A3s,緑
A2s,緑
AKo,紺
KK,紺
KQs,赤
KJs,黄
KTs,緑
K9s,緑
K8s,白
K7s,白
K6s,白
K5s,白
K4s,白
K3s,白
K2s,白
AQo,赤
KQo,黄
QQ,紺
QJs,黄
QTs,緑
Q9s,水色
Q8s,白
Q7s,白
Q6s,白
Q5s,ピンク
Q4s,ピンク
Q3s,ピンク
Q2s,ピンク
AJo,黄
KJo,緑
QJo,水色
JJ,赤
JTs,黄
J9s,水色
J8s,白
J7s,白
J6s,ピンク
J5s,グレー
J4s,グレー
J3s,グレー
J2s,グレー
ATo,緑
KTo,水色
QTo,白
JTo,水色
TT,赤
T9s,緑
T8s,水色
T7s,ピンク
T6s,グレー
T5s,グレー
T4s,グレー
T3s,グレー
T2s,グレー
A9o,水色
K9o,白
Q9o,白
J9o,白
T9o,白
99,赤
98s,水色
97s,白
96s,ピンク
95s,グレー
94s,グレー
93s,グレー
92s,グレー
A8o,白
K8o,グレー
Q8o,グレー
J8o,グレー
T8o,グレー
98o,ピンク
88,黄
87s,白
86s,ピンク
85s,グレー
84s,グレー
83s,グレー
82s,グレー
A7o,白
K7o,グレー
Q7o,グレー
J7o,グレー
T7o,グレー
97o,グレー
87o,グレー
77,黄
76s,白
75s,ピンク
74s,グレー
73s,グレー
72s,グレー
A6o,ピンク
K6o,グレー
Q6o,グレー
J6o,グレー
T6o,グレー
96o,グレー
86o,グレー
76o,グレー
66,緑
65s,白
64s,ピンク
63s,グレー
62s,グレー
A5o,グレー
K5o,グレー
Q5o,グレー
J5o,グレー
T5o,グレー
95o,グレー
85o,グレー
75o,グレー
65o,グレー
55,緑
54s,ピンク
53s,グレー
52s,グレー
A4o,グレー
K4o,グレー
Q4o,グレー
J4o,グレー
T4o,グレー
94o,グレー
84o,グレー
74o,グレー
64o,グレー
54o,グレー
44,水色
43s,グレー
42s,グレー
A3o,グレー
K3o,グレー
Q3o,グレー
J3o,グレー
T3o,グレー
93o,グレー
83o,グレー
73o,グレー
63o,グレー
53o,グレー
43o,グレー
33,水色
32s,グレー
A2o,グレー
K2o,グレー
Q2o,グレー
J2o,グレー
T2o,グレー
92o,グレー
82o,グレー
72o,グレー
62o,グレー
52o,グレー
42o,グレー
32o,グレー
22,水色
